observation,playerType,propReturnB,propSendA,age,defMax,volSav,dropG
181,B,0.333333343,,41,0,98,0
182,B,0.333333343,,38,0,29,0
183,B,0.5,,38,0,63,0
184,B,0.5,,24,569.2700195,0,1
185,B,0.5,,31,174,30.5,1
186,B,1,,51,0,713,0
187,B,0.333333343,,33,147,8,0
188,B,0.5,,22,0,1,0
189,B,0.5,,30,62,6,1
190,B,1,,48,21.79999924,10,0
191,B,0,,30,103,0,1
192,B,0,,32,155.7400055,13,1
193,B,0,,39,1083.5,36.65999985,1
194,B,0.333333343,,29,134,40,1
195,B,0.5,,45,0,16,0
196,B,0.5,,56,0,4,0
197,B,0.5,,30,0,5,1
198,B,0.333333343,,30,0,37,0
199,B,0.333333343,,22,207,136,1
200,B,0.5,,32,124.75,11,0
201,B,0.5,,32,0,0,0
202,B,0.5,,33,38.90999985,3,1
203,B,0.5,,55,0,715,0
204,B,0.5,,58,0,2,0
205,B,0.5,,19,0,23,1
206,B,0.666666687,,35,0,244,0
207,B,0.75,,39,0,123,0
208,B,0.833333313,,43,0,10,0
209,B,0.833333313,,33,0,448,0
210,B,0.25,,32,0,320,0
211,B,0.5,,26,107.5,12,0
212,B,0.5,,42,0,44,0
213,B,0.5,,19,110.7699966,9,0
214,B,0.5,,20,91,3,1
215,B,0.5,,40,62,35,0
216,B,0.5,,27,0,43,0
217,B,1,,27,182.5,0,0
218,B,0,,32,0,9,0
219,B,0.5,,28,53.15999985,0,1
220,B,0.5,,25,83.75,0,0
221,B,0.5,,30,0,177,0
222,B,0.5,,24,0,124,0
223,B,0.5,,49,0,62,0
224,B,0.5,,31,0,23,0
225,B,1,,49,0,6,0
226,B,0,,33,197.0099945,0,0
227,B,0,,29,0,38,0
228,B,0,,43,0,21,0
229,B,0.25,,28,0,0,0
230,B,0.5,,18,0,0,1
231,B,0,,43,86.5,6,1
232,B,0,,21,45.47999954,0,0
233,B,0,,39,82.12000275,24,1
234,B,0.166666672,,36,0,52,0
235,B,0.5,,40,45.47999954,1,0
236,B,0.5,,34,89.25,30,0
237,B,0.666666687,,20,0,0,0
238,B,0,,31,0,1,1
239,B,0,,29,139.2200012,22,1
240,B,0.333333343,,36,0,13,0
241,B,0.333333343,,31,40.47999954,0,1
242,B,0.5,,50,0,61,0
243,B,0.5,,18,124,4,1
244,B,0.5,,38,0,17,0
245,B,0.5,,34,0,2,0
246,B,0.5,,28,28.95999908,0,0
247,B,0.666666687,,33,258,43,0
248,B,0.333333343,,27,93.75,0,0
249,B,0.5,,25,269.6699829,50,0
250,B,0.5,,59,0,7,0
251,B,0.5,,39,136.8000031,7,1
252,B,0,,21,0,6,0
253,B,0.5,,23,52,459.3399963,0
254,B,0.5,,30,0,58.34000015,0
255,B,0.5,,26,144,16.34000015,1
256,B,0.5,,21,276.75,93.33999634,1
257,B,0.5,,42,52,2.340000153,1
258,B,0.5,,47,103,18.34000015,1
259,B,1,,52,0,14.72000027,1
260,B,0,,20,79.16000366,0,1
261,B,0.25,,17,94,28,1
262,B,0.25,,23,131.1999969,36,1
263,B,0.333333343,,28,0,2,0
264,B,0.5,,18,58,0,0
265,B,0.5,,21,234.3999939,98,0
266,B,0.5,,28,0,40,0
267,B,0,,28,0,26,0
268,B,0.25,,54,153,23,0
269,B,0.5,,27,0,170,0
270,B,0.5,,33,21.75,17,0
271,B,0.25,,49,0,43,0
272,B,0.333333343,,27,0,12,0
273,B,0.5,,20,0,47,0
274,B,0.5,,48,29.70000076,5,0
275,B,0,,35,0,14,0
276,B,0,,26,89.25,54,1
277,B,0.333333343,,30,0,4,0
278,B,0.5,,43,0,383,0
279,B,0.5,,32,0,19,0
280,B,0.5,,51,0,46,0
281,B,0.5,,33,0,135,0
282,B,0.5,,33,0,178,0
283,B,0.5,,49,0,123,0
284,B,0.5,,26,0,154,1
285,B,0.333333343,,76,155,28,1
286,B,0.5,,36,14.47999954,0,1
