changeAppControl;changeAppTreat
7.274827003;-10.23151588
-3.428571463;2.623456717
28.13370514;13.85485363
-8.726625443;-20.59925079
7.644628048;-19.5402298
-1.5535568;19.86183167
-34.13333511;-11.3768959
-5.145413876;-5.8904109
17.78907204;-3.898305178
-11.22112179;-6.627906799
-25.27777863;3
41.40845108;-6.227106094
35.10274124;65.99764252
-12.71382332;12.62425423
6.92771101;9.934497833
-21.38857841;18.35106468
-17.54940796;11.39240551
-26.03833771;28.73831749
-20.98765373;-17.97297287
-12.92134857;20.96436119
-22.4736042;1.849948645
-24.30981636;18.63979912
16.19047546;5.831903934
-2.130325794;
14.3724699;
9.634255409;
-7.294552326;
-20.54001999;
-10.56201553;
-15.5882349;
-3.340757132;
-19.40393066;
15.03105545;
85.36585236;
-9.100101471;
-2.805836201;
36.7088623;
16.31579018;
-9.345794678;
-12.77823544;
4.965517044;
-5.137614727;
-15.38461494;
-13.96103859;
-45.51724243;
-25.5813961;
-30.21463966;
-19.56100655;
20.15781975;
-16.73052406;
-51.71974564;
-28.37510109;
-17.07317162;
-7.198612213;
6.335616589;
6.090808392;
-6.157793522;
30.05698013;
40.59278488;
-1.213346839;
34.51720428;
-18.85758972;
-19.22626114;
19.96047401;
-1.553398013;
6.760204315;
-1.298701286;
2.628811836;
23.2403717;
-9.699453354;
-40;
-8.811475754;
-15.57788944;
-23.77622414;
-7.142857075;
-20.22472;
-29.98027611;
-0.367647052;
18.80674362;
17.0154686;
8.791209221;
13.45029259;
4.318936825;
22.19705582;
-25.31712532;
6.089743614;
15.05065155;
-1.661474586;
-8.093995094;
-9.053498268;
21.81818199;
-14.69957066;
33.20079422;
14.54545498;
-4.656084538;
-16.69054413;
15.49295807;
-17.0172081;
-4.949784756;
6.543967247;
-12.17081833;
-4.524887085;
-46.25167465;
-47.37827682;
-22.13181496;
-36.26817322;
-12.96076107;
-7.917888641;
-12.86783028;
26.36363602;
-12.8767128;
7.019562721;
1.920439005;
11.7469883;
-16.47211456;
-18.42105293;
-26.19047546;
-26.06263924;
-13.81278515;
-11.44945145;
-4.17124033;
-1.77935946;
-7.230559349;
-17.75700951;
-37.2436409;
-5.84795332;
-12.32323265;
-11.7408905;
-37.58510971;
-3.894616365;
-17.30126953;
23.76847267;
53.79229736;
-9.984639168;
-17.84776878;
37.55102158;
1.073619604;
10.09803963;
-63.12625122;
-36.85800552;
-36.55172348;
36.38676834;
-8.938547134;
-18.90440369;
-28.75968933;
-10.8081789;
-3.712035894;
-7.539267063;
10.44585991;
-8.087615967;
-4.323094368;
-10.74540138;
11.57125473;
9.035326004;
-10.94710922;
-31.25;
15.48076916;
-21.35306549;
14.20590591;
1.25;
6.203840256;
4.938271523;
-0.432900429;
1.168614388;
-2.410640001;
7.885304451;
-50.56433487;
21.875;
-21.56097603;
-9.547739029;
5.94479847;
-1.317716002;
-6.259541988;
-15.44327927;
-44.6354866;
11.83745575;
9.5674963;
6.818181992;
-16.42796898;
16.85393333;
13.16239357;
7.20640564;
-18.0457058;
-0.807381749;
-17.00118065;
-19.8680954;
10.5344696;
-10.13645267;
9.972299576;
-3.959390879;
-6.185566902;
-19.16771698;
8.873720169;
26.9366188;
6.233987808;
12.09253407;
-0.708661437;
-1.267427087;
-5.357142925;
-9.367396355;
-35.02673721;
-43.45454407;
13.33973122;
1.637666345;
-37.19008255;
4.406130314;
10.930233;
10.37594032;
-20.80745316;
0.507614195;
18.89908218;
6.919642925;
66.1111145;
-37.50869751;
-16.39751625;
0.927152336;
4.801324368;
-2.614968538;
30.59581375;
-9.584664345;
-3.6281178;
22.53787804;
16.75126839;
-16.8449192;
-4.375;
-9.537166595;
-18.50040817;
-2.354398966;
2.687140226;
-15.94533062;
57.72870636;
45.40540695;
36.54676437;
25.1376152;
31.42437553;
-19.06005287;
-9.579832077;
-22.61580467;
25.5289135;
-7.509881496;
-3.454231501;
-7.352941036;
6.075418949;
-3.255813837;
-13.61940289;
-33.02510071;
0.489396423;
0;
7.17658186;
15.30139065;
-2.937062979;
-4.854980946;
6.778087139;
1.916167617;
15.8139534;
-19.70495224;
-40.3571434;
0.120918982;
5.286343575;
29.4285717;
